longitude,latitude,country,admin_1,admin_2,admin_3,admin_4
98.6,39.61667,中国,甘肃省,酒泉市,肃州区,总寨镇
96.949,36.25154,中国,青海省,海西蒙古族藏族自治州,都兰县,宗加镇
85.25,29,中国,西藏自治区,日喀则市,吉隆县,折巴乡
95.83613,30.73893,中国,西藏自治区,昌都市,洛隆县,孜托镇
99.41418,37.59776,中国,青海省,海西蒙古族藏族自治州,天峻县,舟群乡
97.45065,28.6591,中国,西藏自治区,林芝市,察隅县,竹瓦根镇
97.0305,33.20002,中国,青海省,玉树藏族自治州,称多县,拉布乡
95.50335,34.30825,中国,青海省,玉树藏族自治州,治多县,治渠乡
98.28333,24.26667,中国,云南省,德宏傣族景颇族自治州,芒市,遮放镇
98.27627,24.81934,中国,云南省,德宏傣族景颇族自治州,梁河县,河西乡
97.80191,24.19064,中国,云南省,德宏傣族景颇族自治州,陇川县,章凤镇
95.75903,29.86653,中国,西藏自治区,林芝市,波密县,扎木镇
85.98333,27.98333,中国,西藏自治区,日喀则市,聂拉木县,樟木镇
84.16667,29.65,中国,西藏自治区,日喀则市,仲巴县,拉让乡
77.27075,38.18867,中国,新疆维吾尔自治区,喀什地区,泽普县,泽普镇
97.83299,37.34913,中国,青海省,海西蒙古族藏族自治州,德令哈市,蓄集乡
91.70785,31.98568,中国,西藏自治区,那曲市,安多县,扎仁镇
95.16901,33.068,中国,青海省,玉树藏族自治州,杂多县,扎青乡
78.76667,37.28333,中国,新疆维吾尔自治区,和田地区,皮山县,杜瓦镇
93.60966,31.76446,中国,西藏自治区,那曲市,比如县,扎拉乡
93.66667,31.85,中国,西藏自治区,那曲市,索县,亚拉镇
96.74201,33.76962,中国,青海省,玉树藏族自治州,称多县,扎朵镇
97.9,39.8,中国,甘肃省,酒泉市,玉门市,东镇街道
77.56662,39.08335,中国,新疆维吾尔自治区,喀什地区,巴楚县,阿瓦提镇
99.95267,26.1143,中国,云南省,大理白族自治州,洱源县,茈碧湖镇
95.34226,34.57502,中国,青海省,玉树藏族自治州,曲麻莱县,叶格乡
76.76432,39.23938,中国,新疆维吾尔自治区,喀什地区,岳普湖县,岳普湖镇
99.15,26.45,中国,云南省,怒江傈僳族自治州,兰坪白族普米族自治县,营盘镇
83.23333,36.66667,中国,新疆维吾尔自治区,和田地区,民丰县,叶亦克乡
99.51866,38.42731,中国,青海省,海北藏族自治州,祁连县,野牛沟乡
97.5731,30.65722,中国,西藏自治区,昌都市,察雅县,烟多镇
77.41255,37.88256,中国,新疆维吾尔自治区,喀什地区,叶城县,喀格勒克镇
77.66083,38.99408,中国,新疆维吾尔自治区,喀什地区,麦盖提县,央塔克乡
98.75,37.68333,中国,青海省,海西蒙古族藏族自治州,天峻县,阳康乡
