longitude,latitude,country,admin_1,admin_2,admin_3,admin_4
135.98333,33.73333,日本,和歌山县,新宮市,,Aisuji 2-chome
139.36931,35.44272,日本,神奈川縣,厚木市,,Atsugicho
135.00687,34.65524,日本,兵库县,神户市,,
139.57812,35.29483,日本,神奈川縣,逗子市,,逗子五丁目
133.77791,34.22699,日本,香川县,善通寺市,善通寺町6丁目,Zentsujicho 6-chome
139.39101,35.4879,日本,神奈川縣,座間市,,Zama 1-chome
131.23039,25.83158,日本,冲绳县 / 沖繩縣,南大东村,,Zaisho
138.81331,36.93804,日本,新潟县,湯澤町,,Yuzawa 3-chome
139.92909,39.01573,日本,山形县,遊佐町,,小原田
131.05477,32.32872,日本,熊本县,水上村,,
132.91667,33.38333,日本,高知县,梼原町,,Kawaguchi
133.75,35.48333,日本,鳥取縣,Hokuei,,
137.23333,35.8,日本,岐阜县,下呂市,,Koden
136.19614,35.79324,日本,Fukui Prefecture,南越前町,,八乙女
130.98333,32.28333,日本,熊本县,汤前町,,Shimosomeda
130.983,33.72873,日本,福冈县,行桥市,,中央二丁目
139.88333,36.3,日本,茨城县,Yuki,,
139.06667,35.15,日本,神奈川县,湯河原町,,
130.47942,30.2347,日本,鹿儿岛县,屋久岛町,,Yudomari
135.18041,34.03686,日本,和歌山县,Yuasa,,
135.1,35.53333,日本,京都府,與謝野町,,Yotsutsuji
135.85768,34.39611,日本,奈良縣,吉野町,,Kamiichi
133.13333,33.31667,日本,高知县,中土佐町,,Onomi-Tsuganokawayama
139.84184,35.89232,日本,埼玉县,越谷市,,
138.98333,36.25,日本,群马县,高崎市,,吉井町高
138.88333,37.68333,日本,新潟县,燕市,,
139.19429,36.11567,日本,埼玉县,Yorii,,
134.35,33.96667,日本,德岛县,神山町,,Jinryo
139.63333,35.88333,日本,埼玉县,Saitama,,
123,24.46667,日本,冲绳县 / 沖繩縣,与那国町 / 與那國町,,Sonai
133.33333,35.43333,日本,鳥取縣,米子市,,
127.75267,26.20437,日本,冲绳县 / 沖繩縣,与那原町,,Yonabaru
139.38333,35.75,日本,東京都,武藏村山市,,
139.66722,35.28361,日本,神奈川县,橫須賀市,,
134.48333,33.93333,日本,德岛县,胜浦町,,Mitani
139.65,35.43333,日本,神奈川县,横滨市,,
136.61667,34.96667,日本,三重县,四日市市,,安島一丁目
131.32808,33.53537,日本,大分,宇佐市,,
136.19768,35.11626,日本,滋贺县,東近江市,,
135.7027,34.87009,日本,京都府,八幡市,,Yawata-Kamihara
130.59952,32.50439,日本,熊本县,八代市,,Honmachi 1-chome
137.13333,36.56667,日本,富山县,富山,,
133.24224,35.42146,日本,岛根县,安來市,,
133.98501,33.43563,日本,高知县,Yasuda,,
134.96667,34.91667,日本,兵库县,加東市,,
139.83905,35.82255,日本,埼玉县,八潮市,,Chuo 2-chome
137.15,35.46667,日本,岐阜县,八百津町,,Nishikori
135.6,34.61667,日本,大阪府,八尾市,,
134.11267,33.62066,日本,高知县,马路村,,
139.72167,37.52416,日本,福岛县,柳津町,,Yanaizu
132.11667,33.96667,日本,山口县,柳井市,,
130.4,33.16667,日本,福冈县,柳川市,,
135.75,34.51667,日本,奈良县,大和高田市,,
129.39413,28.36077,日本,鹿儿岛县,大和村,,Yamatohama
133.70284,33.56554,日本,高知县,Konan,,
134.55,35,日本,兵库县,宍粟市,,
139.07975,35.36344,日本,神奈川县,Yamakita,,
131.46667,34.18333,日本,山口县,山口市,,Takimachi
130.68911,33.01667,日本,熊本縣,山鹿市,,
133.68333,33.6,日本,高知县,香美市,,
133.59237,34.62849,日本,冈山县,矢掛町,,Yakage
138.31952,34.86877,日本,静岡县,燒津市,,
139.93333,36.8,日本,栃木縣,矢板市,,Tomita
138.83333,37.7,日本,新潟县,Yahiko,,
132.53333,34.68333,日本,広島县,Kitahiroshima,,
134.77118,35.40304,日本,兵库县/兵庫縣,養父市,,Yokacho-Shimonanba
133.68333,35.5,日本,鳥取縣,Kotoura,,
132.21667,34.2,日本,山口县,和木町,,Seta 3-chome
134.15,34.06667,日本,德岛县,美馬市,,
134.14264,34.81156,日本,冈山县,和氣町,,
134.4,35.33333,日本,鸟取县,若櫻町,,Wakasa
136.89912,37.40458,日本,石川縣,輪島市,,
133.81144,33.52205,日本,高知县,芸西村,,
128.65,27.38333,日本,鹿儿岛县,和泊町,,Furusato
134.86667,35.31667,日本,兵库县/兵庫縣,朝來市,,Wadayamacho-Hiji
